rank,lemma,pos_kelly,pos_ud,english
4657,eksakt,n,NOUN,extract
4658,sanksjon,n,NOUN,sanction
4659,karantene,n,NOUN,quarantine
4660,verdensrom,n,NOUN,outer space
4661,omverden,n,NOUN,the surroundings
4662,juling,n,NOUN,beating
4663,reguleringsplan,n,NOUN,regulation plan
4664,diktatur,n,NOUN,dictatorship
4665,sidelinje,n,NOUN,sideline
4666,oppbygging,n,NOUN,construction
4667,rakett,n,NOUN,rocket
4668,treffes,v,VERB,to meet
4669,fradrag,n,NOUN,deduction
4670,folketrygd,n,NOUN,national insurance
4671,reiseliv,n,NOUN,travel life
4672,gjensyn,n,NOUN,reunion
4673,skrivebord,n,NOUN,writing desk
4674,verdighet,n,NOUN,dignity
4675,utløp,n,NOUN,outlet
4676,landsbygd,n,NOUN,countryside
4677,utbetale,v,VERB,to pay out
4678,dal,n,NOUN,valley
4679,trivsel,n,NOUN,well-being
4680,vokalist,n,NOUN,vocalist
4681,fornyelse,n,NOUN,renewal
4682,forvei,n,NOUN,advance
4683,sammenlagt,adj,ADJ,added
4684,regissert,v,VERB,
4685,frelse,n,NOUN,salvation
4686,fuktig,adj,ADJ,moist
4687,jubileum,n,NOUN,jubilee
4688,tyveri,n,NOUN,theft
4689,minnes,v,VERB,remember
4690,alltids,adv,ADV,great
4691,kjønnsforskning,n,NOUN,gender research
4692,skjegg,n,NOUN,beard
4693,strekning,n,NOUN,stretch
4694,bachelor,n,NOUN,bachelor
4695,fortvilet,adj,ADJ,desperate
4696,torsk,n,NOUN,cod
4697,etablert,adj,ADJ,established
4698,regnestykke,n,NOUN,calculation
4699,uforståelig,adj,ADJ,incomprehensible
4700,brannvesen,n,NOUN,fire department
4701,utbrudd,n,NOUN,eruption
4702,deltid,n,NOUN,part-time
4703,forfatterskap,n,NOUN,authorship
4704,reke,n,NOUN,shrimp
4705,spenne,v,VERB,tighten
4706,operativsystem,n,NOUN,perative system
4707,overlegen,adj,ADJ,superior
4708,skjev,adj,ADJ,crooked
4709,fordypning,n,NOUN,indentation
4710,moment,n,NOUN,moment
4711,dilemma,n,NOUN,dilemma
4712,pkt.,n,NOUN,point
4713,fullmakt,n,NOUN,power of attorney
4714,prioritet,n,NOUN,priority
4715,stemple,v,VERB,stamp
4716,profitt,n,NOUN,profit
4717,fyldig,adj,ADJ,plump
4718,skjelve,v,VERB,tremble
4719,g.,n,NOUN,g.
4720,fortvilelse,n,NOUN,despair
4721,prosjektarbeid,n,NOUN,project work
4722,margin,n,NOUN,margin
4723,terapi,n,NOUN,therapy
4724,asiatisk,adj,ADJ,Asiatic
4725,gassen,n,NOUN,the gas
4726,innvending,n,NOUN,objection
4727,utenpå,prep,PREP,outside
4728,prostituere,v,VERB,prostitute
4729,oppegående,adj,ADJ,up-going
4730,helsefremmende,adj,ADJ,health-promoting
4731,bagasje,n,NOUN,luggage
4732,supplement,n,NOUN,supplement
4733,aktivist,n,NOUN,activist
4734,jordskjelv,n,NOUN,earthquake
4735,rammeverk,n,NOUN,framework
4736,vrak,n,NOUN,wreck
4737,saksbehandling,n,NOUN,case handling
4738,lastebil,n,NOUN,truck
4739,nybygg,n,NOUN,new building
4740,ultimat,adj,ADJ,ultimate
4741,koran,n,NOUN,Koran
4742,skissere,v,VERB,sketch
4743,mellomstor,adj,ADJ,middle-sized
4744,håndfull,n,NOUN,handful
4745,ruste,v,VERB,corrode
4746,lesbisk,adj,ADJ,lesbian
4747,afghansk,adj,ADJ,Afghan
4748,folkevalgt,adj,ADJ,publicly elected
4749,pakningsvedlegg,n,NOUN,packaging attachment
4750,sparebank,n,NOUN,bank
4751,overens,adv,ADV,in agreement
4752,slapp,adj,ADJ,weak
4753,gjennomtenke,v,VERB,think through
4754,næringsutvikling,n,NOUN,business development
4755,begivenhet,n,NOUN,event
4756,borettslag,n,NOUN,housing cooperative
4757,reisende,n,NOUN,travelling
4758,andreplass,n,NOUN,second place
4759,atskillig,adj,ADJ,many
4760,tiende,adj,ADJ,tenth
4761,spontan,adj,ADJ,spontaneous
4762,partikkel,n,NOUN,particle
4763,vett,n,NOUN,intelligence
4764,omlegging,n,NOUN,change
4765,livlig,adj,ADJ,lively
4766,distanse,n,NOUN,distance
4767,harmoni,n,NOUN,harmony
4768,mineral,n,NOUN,mineral
4769,splitte,v,VERB,split
4770,kulde,n,NOUN,cold
4771,øm,adj,ADJ,sore
4772,kanarisk,adj,ADJ,Canarian
4773,nabolag,n,NOUN,neighbourhood
4774,lene,v,VERB,lean
4775,kostholdsfilosofi,n,NOUN,diet philosophy
4776,engstelig,adj,ADJ,worried
4777,sminke,n,NOUN,make-up
4778,modig,adj,ADJ,brave
4779,dale,v,VERB,fall
4780,truende,adj,ADJ,threatening
4781,doble,v,VERB,double
4782,ubrukelig,adj,ADJ,unusable
